institution,name,short_institution,short_name
"ECMWF","System 4","ecmwf","4"
"ECMWF","SEAS5","ecmwf","5"
"ECMWF","SEAS5.1","ecmwf","51"
"Météo France","System 5","meteo_france","5"
"Météo France","System 6","meteo_france","6"
"Météo France","System 7","meteo_france","7"
"Météo France","System 8","meteo_france","8"
"Met Office","System 12","ukmo","12"
"Met Office","System 13","ukmo","13"
"Met Office","System 14","ukmo","14"
"Met Office","System 15","ukmo","15"
"Met Office","GloSea6","ukmo","600"
"Met Office","GloSea6.1","ukmo","601"
"Met Office","GloSea6.2","ukmo","602"
"Met Office","GloSea6.3","ukmo","603"
"DWD","GCFS2.0","dwd","2"
"DWD","GCFS2.1","dwd","21"
"CMCC","SPSv3.0","cmcc","3"
"CMCC","SPSv3.5","cmcc","35"
"NCEP","CFSv2","ncep","2"
"JMA","CPS2","jma","2"
"JMA","CPS3","jma","3"
"ECCC","GEM-NEMO","eccc","1"
"ECCC","CanCM4i","eccc","2"
"ECCC","GEM5-NEMO","eccc","3"
"ECCC","CanESM5.1p1bc","eccc","4"
"ECCC","GEM5.2-NEMO","eccc","5"
